Date,ADANIPORTS.NS,TECHM.NS,BRITANNIA.NS,TCS.NS,SUNPHARMA.NS,INFY.NS,HINDALCO.NS,DRREDDY.NS,HCLTECH.NS,HINDUNILVR.NS,TATASTEEL.NS,NTPC.NS,CIPLA.NS,ITC.NS,BPCL.NS,WIPRO.NS,JSWSTEEL.NS,GAIL.NS,DIVISLAB.NS,ULTRACEMCO.NS,NESTLEIND.NS,ASIANPAINT.NS,EICHERMOT.NS,IOC.NS,GRASIM.NS,BAJAJ-AUTO.NS,HDFC.NS,M&M.NS,UPL.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS,BAJAJFINSV.NS,KOTAKBANK.NS,COALINDIA.NS,BHARTIARTL.NS,HEROMOTOCO.NS,LT.NS,ONGC.NS,SBIN.NS,RELIANCE.NS,SBILIFE.NS,HDFCLIFE.NS,BAJFINANCE.NS,AXISBANK.NS,HDFCBANK.NS,TATAMOTORS.NS,ICICIBANK.NS,POWERGRID.NS,INDUSINDBK.NS
01-01-2016,267.5499878,520.0499878,1493.199951,1208.199951,815.5499878,552.625,84.90000153,3108.600098,422.9249878,856.5499878,245.2339935,120.4169998,655.3499756,218.3329926,298.6830139,208.6690063,102.6999969,103.9919968,1162.5,2824,5785.149902,878.75,1737.079956,108.3119965,583.6870117,2518,1258.449951,632.6749878,293.5669861,11383.5,4638.5,352.0499878,1983.800049,727.25,334.0499878,312.6400146,2686.050049,859.46698,161.6670074,227.8000031,507.6749878,,,609.585022,449.8999939,544.375,401.8999939,239.0910034,141,963.8499756
04-01-2016,257.9500122,516.4000244,1486.300049,1184.800049,799.0999756,539.4500122,80.75,3056,422.9750061,859,244.7579956,119.4169998,645.6500244,216.7330017,297.1499939,209.1380005,104.4700012,101.1940002,1149.699951,2749.149902,5669.799805,880.7999878,1749.530029,106.612999,566.5689697,2483.350098,1216.699951,621.25,289.2330017,11059.2998,4580.649902,351.3999939,1959.5,705.2999878,330.2000122,300.0610046,2637.800049,837.2999878,158.6999969,220.6999969,497.6499939,,,605.2449951,438.3999939,535.25,377.0499878,232.3179932,140.9499969,934.2000122
05-01-2016,255.6999969,521.9000244,1483.349976,1174.469971,800.5,537.0250244,82.59999847,3070.649902,421.3999939,847.9500122,261.3359985,118.5419998,640.8499756,216.5670013,300.8829956,208.8379974,108.3099976,104.6949997,1147.5,2733.050049,5662.399902,900.6500244,1715.98999,110.6620026,566.8549805,2502.350098,1209.400024,624.5999756,290.2000122,11124.2998,4566.950195,347.7000122,1946,707.75,325.7999878,296.9849854,2616.850098,837.9329834,161.2330017,217.75,502.5750122,,,599.7849731,436.4500122,531.2000122,374.4500122,233.3639984,139.1499939,935.25
06-01-2016,251.8000031,525.0999756,1500.849976,1190.800049,791.9500122,534.6749878,80.55000305,3046.25,420.7000122,843.0499878,256.0480042,117.875,652.0999756,210.0670013,304.1000061,208.1629944,105.8199997,104.8219986,1137.199951,2735.300049,5719.5,886.4000244,1752.51001,112.7129974,565.8179932,2485.5,1209.300049,613.0750122,295.5669861,11452.2998,4480.799805,347.8500061,1938.550049,703.5999756,327.8999939,295.8370056,2578.199951,824.5670166,158.3670044,216.8500061,516.0999756,,,610.7249756,430.7000122,533.5499878,365.8999939,227.3639984,139.5,943.9500122
07-01-2016,245,510.7999878,1473.280029,1185.619995,783.7999878,525.4000244,76.65000153,2991.800049,412.5249939,820.25,238.0890045,114.875,637.4500122,206.3999939,294.75,206.1940002,102.6350021,104.2310028,1126.949951,2667.699951,5638.950195,872.3499756,1703.560059,110.387001,551.0689697,2419.25,1179.449951,598.7249756,278.2669983,10979,4267.899902,344.0499878,1927.050049,691.6500244,326.3999939,295.9750061,2520.100098,804.2670288,151.0670013,209.5500031,506.625,,,610.6300049,409.25,528.0999756,343.5499878,224.3179932,138.1000061,925.5
08-01-2016,241.3999939,522.1500244,1451.150024,1198.800049,794.1500244,531.6500244,76.90000153,3010.699951,414.1749878,809.8499756,241.6139984,116.2919998,622.3499756,209.1000061,301.1830139,208.4250031,104.1149979,104.9629974,1129.699951,2705.199951,5632.549805,874.5999756,1724.140015,111.6999969,553.9349976,2375.850098,1174.400024,599,283.6329956,11152.90039,4214.75,348,2000.400024,695.0999756,321.1000061,297.3519897,2489.649902,786.0670166,153.4329987,208.9499969,512.875,,,631.4500122,413.7000122,531.1749878,353.3500061,222.772995,141.6499939,947.0499878
11-01-2016,234.0500031,507.2999878,1459.650024,1181.180054,782.25,527.8499756,77.90000153,2931.5,407.2749939,811.75,239.7559967,118,610.0499878,210.6999969,296.0169983,201.5440063,101.9649963,103.8659973,1099.5,2726.800049,5469.25,873.8499756,1723.910034,110.7249985,561.1240234,2360.5,1161.550049,581.2999878,283.2669983,10912,4272.399902,345.0499878,1943.400024,700.8499756,315.9500122,294.8729858,2505.449951,782.2329712,150.3329926,204.3000031,525.7999878,,,630.6199951,417.2000122,529.2999878,360.2000122,217.6820068,143.25,936.75
12-01-2016,237.25,507.3999939,1470.099976,1163.530029,788.1500244,524.9749756,75.59999847,2923.25,405.0249939,819.7000122,234.1349945,121,611.4500122,210.1000061,296.7170105,205.8379974,101.2799988,102.8949966,1100.300049,2670.050049,5439.850098,872.9000244,1706.680054,110,549.9000244,2344.350098,1151.849976,590.9500122,283.2669983,10596.09961,4269,346.8999939,1957.5,692,316,289.5929871,2467.199951,786.0999756,147.5670013,199.3999939,522.7249756,,,620.8800049,406.1000061,523.4749756,355,215.227005,142.75,913.25
13-01-2016,230.1999969,504.4500122,1452.599976,1139.599976,796.5999756,541.7000122,76.69999695,2890.949951,413.2000122,832.75,234.9450073,120.2080002,608.6500244,210.5,298.6329956,204.9380035,100.3700027,102.0660019,1084.449951,2684.350098,5501.149902,868.5499878,1706.27002,109.8000031,546.3909912,2369.699951,1167.650024,602.5250244,274.0669861,10540.2002,4291.25,349.9500122,1987.449951,689.1500244,317.2999878,283.3500061,2473.699951,771.1669922,148.8000031,200.8999939,538.4249878,,,607.7849731,406.7000122,530.0750122,364.6000061,217.727005,142.8999939,936.4000244
14-01-2016,227.8000031,514,1448.800049,1139.400024,791.8499756,566.5,74.69999695,2915,414.4249878,827.25,227.4660034,119.3330002,614.2999878,211.5,303.1329956,204.4689941,100.3450012,100.560997,1087.449951,2626.800049,5616.149902,889.4000244,1698.800049,108.8499985,542.0839844,2362.449951,1159.300049,594.2750244,265.7000122,10192.7998,4248.25,341.7000122,1948.900024,684.0999756,318.6499939,283.4880066,2437.550049,756.4329834,148.8329926,196.0500031,530.8250122,,,607.5900269,390.6000061,524.875,354.2999878,214.3179932,142.8500061,917
